Infinitive,накле́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,накле́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накле́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накле́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,накле́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накле́ю
2nd Sing,накле́ишь
3rd Sing,накле́ит
1st Pl,накле́им
2nd Pl,накле́ите
3rd Pl,накле́ят
Past M,накле́ил
Past F,накле́ила
Past N,накле́ило
Past PL,накле́или
Imp S,накле́й
Imp PL,накле́йте
