Infinitive,нависа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нависа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нависа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нависа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нависа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,нависа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,нависа́ю
2nd Sing,нависа́ешь
3rd Sing,нависа́ет
1st Pl,нависа́ем
2nd Pl,нависа́ете
3rd Pl,нависа́ют
Past M,нависа́л
Past F,нависа́ла
Past N,нависа́ло
Past PL,нависа́ли
Imp S,нависа́й
Imp PL,нависа́йте
