Infinitive,напе́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,напеку́
2nd Sing,напечёшь
3rd Sing,напечёт
1st Pl,напечём
2nd Pl,напечёте
3rd Pl,напеку́т
Past M,напёк
Past F,напекла́
Past N,напекло́
Past PL,напекли́
Imp S,напеки́
Imp PL,напеки́те
