Infinitive,нала́диться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нала́дившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нала́дившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нала́жусь
2nd Sing,нала́дишься
3rd Sing,нала́дится
1st Pl,нала́димся
2nd Pl,нала́дитесь
3rd Pl,нала́дятся
Past M,нала́дился
Past F,нала́дилась
Past N,нала́дилось
Past PL,нала́дились
Imp S,нала́дься
Imp PL,нала́дьтесь
