Infinitive,напи́чкать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напи́чкавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напи́чканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напи́чкав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напи́чкавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напи́чкаю
2nd Sing,напи́чкаешь
3rd Sing,напи́чкает
1st Pl,напи́чкаем
2nd Pl,напи́чкаете
3rd Pl,напи́чкают
Past M,напи́чкал
Past F,напи́чкала
Past N,напи́чкало
Past PL,напи́чкали
Imp S,напи́чкай
Imp PL,напи́чкайте
