Infinitive,нали́ться
Zaliznyak Class,11b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,налью́сь
2nd Sing,нальёшься
3rd Sing,нальётся
1st Pl,нальёмся
2nd Pl,нальётесь
3rd Pl,налью́тся
Past M,нали́лся
Past F,налила́сь
Past N,налило́сь
Past PL,налили́сь
Imp S,нале́йся
Imp PL,нале́йтесь
