Infinitive,навари́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навари́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нава́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навари́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,навари́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наварю́
2nd Sing,нава́ришь
3rd Sing,нава́рит
1st Pl,нава́рим
2nd Pl,нава́рите
3rd Pl,нава́рят
Past M,навари́л
Past F,навари́ла
Past N,навари́ло
Past PL,навари́ли
Imp S,навари́
Imp PL,навари́те
