Infinitive,напомина́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,напомина́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,напомина́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напомина́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,напомина́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,напомина́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,напомина́ю
2nd Sing,напомина́ешь
3rd Sing,напомина́ет
1st Pl,напомина́ем
2nd Pl,напомина́ете
3rd Pl,напомина́ют
Past M,напомина́л
Past F,напомина́ла
Past N,напомина́ло
Past PL,напомина́ли
Imp S,напомина́й
Imp PL,напомина́йте
