Infinitive,надписа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,надписа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,надпи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,надписа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,надписа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,надпишу́
2nd Sing,надпи́шешь
3rd Sing,надпи́шет
1st Pl,надпи́шем
2nd Pl,надпи́шете
3rd Pl,надпи́шут
Past M,надписа́л
Past F,надписа́ла
Past N,надписа́ло
Past PL,надписа́ли
Imp S,надпиши́
Imp PL,надпиши́те
