Infinitive,наде́яться
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наде́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наде́явшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наде́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наде́явшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наде́юсь
2nd Sing,наде́ешься
3rd Sing,наде́ется
1st Pl,наде́емся
2nd Pl,наде́етесь
3rd Pl,наде́ются
Past M,наде́ялся
Past F,наде́ялась
Past N,наде́ялось
Past PL,наде́ялись
Imp S,наде́йся
Imp PL,наде́йтесь
