Infinitive,наверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наверну́сь
2nd Sing,навернёшься
3rd Sing,навернётся
1st Pl,навернёмся
2nd Pl,навернётесь
3rd Pl,наверну́тся
Past M,наверну́лся
Past F,наверну́лась
Past N,наверну́лось
Past PL,наверну́лись
Imp S,наверни́сь
Imp PL,наверни́тесь
