Infinitive,нахлобу́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нахлобу́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нахлобу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нахлобу́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нахлобу́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нахлобу́чу
2nd Sing,нахлобу́чишь
3rd Sing,нахлобу́чит
1st Pl,нахлобу́чим
2nd Pl,нахлобу́чите
3rd Pl,нахлобу́чат
Past M,нахлобу́чил
Past F,нахлобу́чила
Past N,нахлобу́чило
Past PL,нахлобу́чили
Imp S,нахлобу́чь
Imp PL,нахлобу́чьте
