Infinitive,нашепта́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нашепта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нашёптанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нашепта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нашепта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нашепчу́
2nd Sing,наше́пчешь
3rd Sing,наше́пчет
1st Pl,наше́пчем
2nd Pl,наше́пчете
3rd Pl,наше́пчут
Past M,нашепта́л
Past F,нашепта́ла
Past N,нашепта́ло
Past PL,нашепта́ли
Imp S,нашепчи́
Imp PL,нашепчи́те
