Infinitive,насы́тить
Zaliznyak Class,4a(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насы́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насы́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насы́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,насы́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насы́щу
2nd Sing,насы́тишь
3rd Sing,насы́тит
1st Pl,насы́тим
2nd Pl,насы́тите
3rd Pl,насы́тят
Past M,насы́тил
Past F,насы́тила
Past N,насы́тило
Past PL,насы́тили
Imp S,насы́ть
Imp PL,насы́тьте
