Infinitive,наце́литься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наце́лившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наце́лившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наце́люсь
2nd Sing,наце́лишься
3rd Sing,наце́лится
1st Pl,наце́лимся
2nd Pl,наце́литесь
3rd Pl,наце́лятся
Past M,наце́лился
Past F,наце́лилась
Past N,наце́лилось
Past PL,наце́лились
Imp S,наце́лься
Imp PL,наце́льтесь
