Infinitive,нару́шиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нару́шившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нару́шившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нару́шусь
2nd Sing,нару́шишься
3rd Sing,нару́шится
1st Pl,нару́шимся
2nd Pl,нару́шитесь
3rd Pl,нару́шатся
Past M,нару́шился
Past F,нару́шилась
Past N,нару́шилось
Past PL,нару́шились
Imp S,нару́шься
Imp PL,нару́шьтесь
