Infinitive,нагуля́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нагуля́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагуля́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нагуля́юсь
2nd Sing,нагуля́ешься
3rd Sing,нагуля́ется
1st Pl,нагуля́емся
2nd Pl,нагуля́етесь
3rd Pl,нагуля́ются
Past M,нагуля́лся
Past F,нагуля́лась
Past N,нагуля́лось
Past PL,нагуля́лись
Imp S,нагуля́йся
Imp PL,нагуля́йтесь
