Infinitive,накрени́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,накрени́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накрени́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,накреню́сь
2nd Sing,накрени́шься
3rd Sing,накрени́тся
1st Pl,накрени́мся
2nd Pl,накрени́тесь
3rd Pl,накреня́тся
Past M,накрени́лся
Past F,накрени́лась
Past N,накрени́лось
Past PL,накрени́лись
Imp S,накрени́сь
Imp PL,накрени́тесь
