Infinitive,нахму́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нахму́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нахму́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нахму́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нахму́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,нахму́рю
2nd Sing,нахму́ришь
3rd Sing,нахму́рит
1st Pl,нахму́рим
2nd Pl,нахму́рите
3rd Pl,нахму́рят
Past M,нахму́рил
Past F,нахму́рила
Past N,нахму́рило
Past PL,нахму́рили
Imp S,нахму́рь
Imp PL,нахму́рьте
