Infinitive,нагре́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нагре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нагре́юсь
2nd Sing,нагре́ешься
3rd Sing,нагре́ется
1st Pl,нагре́емся
2nd Pl,нагре́етесь
3rd Pl,нагре́ются
Past M,нагре́лся
Past F,нагре́лась
Past N,нагре́лось
Past PL,нагре́лись
Imp S,нагре́йся
Imp PL,нагре́йтесь
