Infinitive,надорва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,надорва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,надорва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,надорву́сь
2nd Sing,надорвёшься
3rd Sing,надорвётся
1st Pl,надорвёмся
2nd Pl,надорвётесь
3rd Pl,надорву́тся
Past M,надорва́лся
Past F,надорвала́сь
Past N,надорвало́сь
Past PL,надорвали́сь
Imp S,надорви́сь
Imp PL,надорви́тесь
