Infinitive,натя́гиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,натя́гивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,натя́гивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,натя́гиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,натя́гивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,натя́гиваюсь
2nd Sing,натя́гиваешься
3rd Sing,натя́гивается
1st Pl,натя́гиваемся
2nd Pl,натя́гиваетесь
3rd Pl,натя́гиваются
Past M,натя́гивался
Past F,натя́гивалась
Past N,натя́гивалось
Past PL,натя́гивались
Imp S,натя́гивайся
Imp PL,натя́гивайтесь
