Infinitive,напу́тать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напу́тавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напу́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напу́тав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напу́тавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напу́таю
2nd Sing,напу́таешь
3rd Sing,напу́тает
1st Pl,напу́таем
2nd Pl,напу́таете
3rd Pl,напу́тают
Past M,напу́тал
Past F,напу́тала
Past N,напу́тало
Past PL,напу́тали
Imp S,напу́тай
Imp PL,напу́тайте
