Infinitive,натерпе́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,натерпе́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,натерпе́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,натерплю́сь
2nd Sing,нате́рпишься
3rd Sing,нате́рпится
1st Pl,нате́рпимся
2nd Pl,нате́рпитесь
3rd Pl,нате́рпятся
Past M,натерпе́лся
Past F,натерпе́лась
Past N,натерпе́лось
Past PL,натерпе́лись
Imp S,натерпи́сь
Imp PL,натерпи́тесь
