Infinitive,натяну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,натяну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,натяну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,натяну́сь
2nd Sing,натя́нешься
3rd Sing,натя́нется
1st Pl,натя́немся
2nd Pl,натя́нетесь
3rd Pl,натя́нутся
Past M,натяну́лся
Past F,натяну́лась
Past N,натяну́лось
Past PL,натяну́лись
Imp S,натяни́сь
Imp PL,натяни́тесь
