Infinitive,навреди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,навреди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,навреди́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,навреди́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,наврежу́
2nd Sing,навреди́шь
3rd Sing,навреди́т
1st Pl,навреди́м
2nd Pl,навреди́те
3rd Pl,навредя́т
Past M,навреди́л
Past F,навреди́ла
Past N,навреди́ло
Past PL,навреди́ли
Imp S,навреди́
Imp PL,навреди́те
