Infinitive,народи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,народи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,народи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нарожу́сь
2nd Sing,народи́шься
3rd Sing,народи́тся
1st Pl,народи́мся
2nd Pl,народи́тесь
3rd Pl,народя́тся
Past M,народи́лся
Past F,народи́лась
Past N,народи́лось
Past PL,народи́лись
Imp S,народи́сь
Imp PL,народи́тесь
