Infinitive,насыща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,насыща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,насыща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насыща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,насыща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насыща́юсь
2nd Sing,насыща́ешься
3rd Sing,насыща́ется
1st Pl,насыща́емся
2nd Pl,насыща́етесь
3rd Pl,насыща́ются
Past M,насыща́лся
Past F,насыща́лась
Past N,насыща́лось
Past PL,насыща́лись
Imp S,насыща́йся
Imp PL,насыща́йтесь
