Infinitive,насели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,насели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,населённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,насели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,населю́
2nd Sing,насели́шь
3rd Sing,насели́т
1st Pl,насели́м
2nd Pl,насели́те
3rd Pl,населя́т
Past M,насели́л
Past F,насели́ла
Past N,насели́ло
Past PL,насели́ли
Imp S,насели́
Imp PL,насели́те
