Infinitive,наплыва́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,наплыва́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наплыва́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наплыва́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наплыва́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,наплыва́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,наплыва́ю
2nd Sing,наплыва́ешь
3rd Sing,наплыва́ет
1st Pl,наплыва́ем
2nd Pl,наплыва́ете
3rd Pl,наплыва́ют
Past M,наплыва́л
Past F,наплыва́ла
Past N,наплыва́ло
Past PL,наплыва́ли
Imp S,наплыва́й
Imp PL,наплыва́йте
