Infinitive,налете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,налете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,налете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,налете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,налечу́
2nd Sing,налети́шь
3rd Sing,налети́т
1st Pl,налети́м
2nd Pl,налети́те
3rd Pl,налетя́т
Past M,налете́л
Past F,налете́ла
Past N,налете́ло
Past PL,налете́ли
Imp S,налети́
Imp PL,налети́те
