Infinitive,наговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наговорю́
2nd Sing,наговори́шь
3rd Sing,наговори́т
1st Pl,наговори́м
2nd Pl,наговори́те
3rd Pl,наговоря́т
Past M,наговори́л
Past F,наговори́ла
Past N,наговори́ло
Past PL,наговори́ли
Imp S,наговори́
Imp PL,наговори́те
