Infinitive,научи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,научи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нау́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,научи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,научи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,научу́
2nd Sing,нау́чишь
3rd Sing,нау́чит
1st Pl,нау́чим
2nd Pl,нау́чите
3rd Pl,нау́чат
Past M,научи́л
Past F,научи́ла
Past N,научи́ло
Past PL,научи́ли
Imp S,научи́
Imp PL,научи́те
