Infinitive,наи́грывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наи́грывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наи́грывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наи́грываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наи́грывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,наи́грывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,наи́грывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,наи́грываю
2nd Sing,наи́грываешь
3rd Sing,наи́грывает
1st Pl,наи́грываем
2nd Pl,наи́грываете
3rd Pl,наи́грывают
Past M,наи́грывал
Past F,наи́грывала
Past N,наи́грывало
Past PL,наи́грывали
Imp S,наи́грывай
Imp PL,наи́грывайте
