Infinitive,наце́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наце́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,наце́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наце́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,наце́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наце́ливаюсь
2nd Sing,наце́ливаешься
3rd Sing,наце́ливается
1st Pl,наце́ливаемся
2nd Pl,наце́ливаетесь
3rd Pl,наце́ливаются
Past M,наце́ливался
Past F,наце́ливалась
Past N,наце́ливалось
Past PL,наце́ливались
Imp S,наце́ливайся
Imp PL,наце́ливайтесь
