Infinitive,насторожи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,насторожи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,насторожи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,насторожу́сь
2nd Sing,насторожи́шься
3rd Sing,насторожи́тся
1st Pl,насторожи́мся
2nd Pl,насторожи́тесь
3rd Pl,насторожа́тся
Past M,насторожи́лся
Past F,насторожи́лась
Past N,насторожи́лось
Past PL,насторожи́лись
Imp S,насторожи́сь
Imp PL,насторожи́тесь
