Infinitive,навали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,навали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,навали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,навалю́сь
2nd Sing,нава́лишься
3rd Sing,нава́лится
1st Pl,нава́лимся
2nd Pl,нава́литесь
3rd Pl,нава́лятся
Past M,навали́лся
Past F,навали́лась
Past N,навали́лось
Past PL,навали́лись
Imp S,навали́сь
Imp PL,навали́тесь
