Infinitive,намекну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,намекну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,намекну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,намекну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,намекну́
2nd Sing,намекнёшь
3rd Sing,намекнёт
1st Pl,намекнём
2nd Pl,намекнёте
3rd Pl,намекну́т
Past M,намекну́л
Past F,намекну́ла
Past N,намекну́ло
Past PL,намекну́ли
Imp S,намекни́
Imp PL,намекни́те
