Infinitive,наста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наста́влю
2nd Sing,наста́вишь
3rd Sing,наста́вит
1st Pl,наста́вим
2nd Pl,наста́вите
3rd Pl,наста́вят
Past M,наста́вил
Past F,наста́вила
Past N,наста́вило
Past PL,наста́вили
Imp S,наста́вь
Imp PL,наста́вьте
