Infinitive,набро́ситься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,набро́сившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,набро́сившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,набро́шусь
2nd Sing,набро́сишься
3rd Sing,набро́сится
1st Pl,набро́симся
2nd Pl,набро́ситесь
3rd Pl,набро́сятся
Past M,набро́сился
Past F,набро́силась
Past N,набро́силось
Past PL,набро́сились
Imp S,набро́сься
Imp PL,набро́сьтесь
