Infinitive,наткну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,наткну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наткну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,наткну́сь
2nd Sing,наткнёшься
3rd Sing,наткнётся
1st Pl,наткнёмся
2nd Pl,наткнётесь
3rd Pl,наткну́тся
Past M,наткну́лся
Past F,наткну́лась
Past N,наткну́лось
Past PL,наткну́лись
Imp S,наткни́сь
Imp PL,наткни́тесь
