Infinitive,напи́ться
Zaliznyak Class,11b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,напи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,напью́сь
2nd Sing,напьёшься
3rd Sing,напьётся
1st Pl,напьёмся
2nd Pl,напьётесь
3rd Pl,напью́тся
Past M,напи́лся
Past F,напила́сь
Past N,напило́сь
Past PL,напили́сь
Imp S,напе́йся
Imp PL,напе́йтесь
