Infinitive,напита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,напита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,напита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,напита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,напита́ю
2nd Sing,напита́ешь
3rd Sing,напита́ет
1st Pl,напита́ем
2nd Pl,напита́ете
3rd Pl,напита́ют
Past M,напита́л
Past F,напита́ла
Past N,напита́ло
Past PL,напита́ли
Imp S,напита́й
Imp PL,напита́йте
