Infinitive,наша́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наша́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наша́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наша́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наша́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наша́рю
2nd Sing,наша́ришь
3rd Sing,наша́рит
1st Pl,наша́рим
2nd Pl,наша́рите
3rd Pl,наша́рят
Past M,наша́рил
Past F,наша́рила
Past N,наша́рило
Past PL,наша́рили
Imp S,наша́рь
Imp PL,наша́рьте
