Infinitive,наложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нало́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наложу́
2nd Sing,нало́жишь
3rd Sing,нало́жит
1st Pl,нало́жим
2nd Pl,нало́жите
3rd Pl,нало́жат
Past M,наложи́л
Past F,наложи́ла
Past N,наложи́ло
Past PL,наложи́ли
Imp S,наложи́
Imp PL,наложи́те
