Infinitive,набря́кнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,набря́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,набря́кши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,набря́кну
2nd Sing,набря́кнешь
3rd Sing,набря́кнет
1st Pl,набря́кнем
2nd Pl,набря́кнете
3rd Pl,набря́кнут
Past M,набря́к
Past F,набря́кла
Past N,набря́кло
Past PL,набря́кли
Imp S,набря́кни
Imp PL,набря́кните
