Infinitive,напо́мнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,напо́мнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напо́мнив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,напо́мнивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,напо́мню
2nd Sing,напо́мнишь
3rd Sing,напо́мнит
1st Pl,напо́мним
2nd Pl,напо́мните
3rd Pl,напо́мнят
Past M,напо́мнил
Past F,напо́мнила
Past N,напо́мнило
Past PL,напо́мнили
Imp S,напо́мни
Imp PL,напо́мните
