Infinitive,натолкну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,натолкну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,натолкну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,натолкну́сь
2nd Sing,натолкнёшься
3rd Sing,натолкнётся
1st Pl,натолкнёмся
2nd Pl,натолкнётесь
3rd Pl,натолкну́тся
Past M,натолкну́лся
Past F,натолкну́лась
Past N,натолкну́лось
Past PL,натолкну́лись
Imp S,натолкни́сь
Imp PL,натолкни́тесь
