Infinitive,нагря́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нагря́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нагря́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,нагря́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нагря́ну
2nd Sing,нагря́нешь
3rd Sing,нагря́нет
1st Pl,нагря́нем
2nd Pl,нагря́нете
3rd Pl,нагря́нут
Past M,нагря́нул
Past F,нагря́нула
Past N,нагря́нуло
Past PL,нагря́нули
Imp S,нагря́нь
Imp PL,нагря́ньте
