Infinitive,наве́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наве́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наве́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наве́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наве́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наве́шаю
2nd Sing,наве́шаешь
3rd Sing,наве́шает
1st Pl,наве́шаем
2nd Pl,наве́шаете
3rd Pl,наве́шают
Past M,наве́шал
Past F,наве́шала
Past N,наве́шало
Past PL,наве́шали
Imp S,наве́шай
Imp PL,наве́шайте
