Infinitive,намочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,намочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,намо́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,намочи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,намочи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,намочу́
2nd Sing,намо́чишь
3rd Sing,намо́чит
1st Pl,намо́чим
2nd Pl,намо́чите
3rd Pl,намо́чат
Past M,намочи́л
Past F,намочи́ла
Past N,намочи́ло
Past PL,намочи́ли
Imp S,намочи́
Imp PL,намочи́те
