Infinitive,навле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,навлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,навлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,навлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,навлеку́
2nd Sing,навлечёшь
3rd Sing,навлечёт
1st Pl,навлечём
2nd Pl,навлечёте
3rd Pl,навлеку́т
Past M,навлёк
Past F,навлекла́
Past N,навлекло́
Past PL,навлекли́
Imp S,навлеки́
Imp PL,навлеки́те
