Infinitive,насчи́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,насчи́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,насчи́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,насчи́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,насчи́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,насчи́тываюсь
2nd Sing,насчи́тываешься
3rd Sing,насчи́тывается
1st Pl,насчи́тываемся
2nd Pl,насчи́тываетесь
3rd Pl,насчи́тываются
Past M,насчи́тывался
Past F,насчи́тывалась
Past N,насчи́тывалось
Past PL,насчи́тывались
Imp S,насчи́тывайся
Imp PL,насчи́тывайтесь
