Infinitive,натвори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,натвори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,натворённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,натвори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,натвори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,натворю́
2nd Sing,натвори́шь
3rd Sing,натвори́т
1st Pl,натвори́м
2nd Pl,натвори́те
3rd Pl,натворя́т
Past M,натвори́л
Past F,натвори́ла
Past N,натвори́ло
Past PL,натвори́ли
Imp S,натвори́
Imp PL,натвори́те
