Infinitive,наби́ть
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наби́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,набью́
2nd Sing,набьёшь
3rd Sing,набьёт
1st Pl,набьём
2nd Pl,набьёте
3rd Pl,набью́т
Past M,наби́л
Past F,наби́ла
Past N,наби́ло
Past PL,наби́ли
Imp S,набе́й
Imp PL,набе́йте
