Infinitive,наверста́ть
Zaliznyak Class,1a(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наверста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,навёрстанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наверста́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наверста́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наверста́ю
2nd Sing,наверста́ешь
3rd Sing,наверста́ет
1st Pl,наверста́ем
2nd Pl,наверста́ете
3rd Pl,наверста́ют
Past M,наверста́л
Past F,наверста́ла
Past N,наверста́ло
Past PL,наверста́ли
Imp S,наверста́й
Imp PL,наверста́йте
