Infinitive,наки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,наки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,наки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,наки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наки́ну
2nd Sing,наки́нешь
3rd Sing,наки́нет
1st Pl,наки́нем
2nd Pl,наки́нете
3rd Pl,наки́нут
Past M,наки́нул
Past F,наки́нула
Past N,наки́нуло
Past PL,наки́нули
Imp S,наки́нь
Imp PL,наки́ньте
