Infinitive,накла́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,накла́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,накла́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,накла́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,накла́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,накла́дываюсь
2nd Sing,накла́дываешься
3rd Sing,накла́дывается
1st Pl,накла́дываемся
2nd Pl,накла́дываетесь
3rd Pl,накла́дываются
Past M,накла́дывался
Past F,накла́дывалась
Past N,накла́дывалось
Past PL,накла́дывались
Imp S,накла́дывайся
Imp PL,накла́дывайтесь
