Infinitive,набива́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,набива́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,набива́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,набива́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,набива́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,набива́юсь
2nd Sing,набива́ешься
3rd Sing,набива́ется
1st Pl,набива́емся
2nd Pl,набива́етесь
3rd Pl,набива́ются
Past M,набива́лся
Past F,набива́лась
Past N,набива́лось
Past PL,набива́лись
Imp S,набива́йся
Imp PL,набива́йтесь
