Infinitive,накопи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,накопи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,накопи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,накоплю́сь
2nd Sing,нако́пишься
3rd Sing,нако́пится
1st Pl,нако́пимся
2nd Pl,нако́питесь
3rd Pl,нако́пятся
Past M,накопи́лся
Past F,накопи́лась
Past N,накопи́лось
Past PL,накопи́лись
Imp S,накопи́сь
Imp PL,накопи́тесь
