Infinitive,напо́лниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,напо́лнившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,напо́лнившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,напо́лнюсь
2nd Sing,напо́лнишься
3rd Sing,напо́лнится
1st Pl,напо́лнимся
2nd Pl,напо́лнитесь
3rd Pl,напо́лнятся
Past M,напо́лнился
Past F,напо́лнилась
Past N,напо́лнилось
Past PL,напо́лнились
Imp S,напо́лнись
Imp PL,напо́лнитесь
