Infinitive,нарасти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,нарасти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,наращённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,нарасти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,нарасти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,наращу́
2nd Sing,нарасти́шь
3rd Sing,нарасти́т
1st Pl,нарасти́м
2nd Pl,нарасти́те
3rd Pl,нарастя́т
Past M,нарасти́л
Past F,нарасти́ла
Past N,нарасти́ло
Past PL,нарасти́ли
Imp S,нарасти́
Imp PL,нарасти́те
