Infinitive,нае́сться
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,нае́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нае́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,нае́мся
2nd Sing,нае́шься
3rd Sing,нае́стся
1st Pl,наеди́мся
2nd Pl,наеди́тесь
3rd Pl,наедя́тся
Past M,нае́лся
Past F,нае́лась
Past N,нае́лось
Past PL,нае́лись
Imp S,нае́шься
Imp PL,нае́шьтесь
