Infinitive,назва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,назва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,назва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,назову́сь
2nd Sing,назовёшься
3rd Sing,назовётся
1st Pl,назовёмся
2nd Pl,назовётесь
3rd Pl,назову́тся
Past M,назва́лся
Past F,назвала́сь
Past N,назвало́сь
Past PL,назвали́сь
Imp S,назови́сь
Imp PL,назови́тесь
